date,hour,area,entry,exit,min,max,avg,avg_div,time
2019-02-26,07:12:00,1,6,5,0,1,211,606,0
2019-02-26,07:13:00,1,25,26,0,2,218,595,0
22019-02-26,07:26:00,1,2,2,0,2,134,596,0
2019-02-26,09:51:00,1,16,16,0,2,267,606,0
2019-02-26,09:52:00,1,21,20,0,2,353,596,0
2019-02-26,09:53:00,1,9,10,0,2,255,605,0
2012019-02-26,12:28:00,1,1,1,0,1,1,595,0
22019-02-26,12:39:00,1,1,1,0,1,1,606,0
2019-02-26,13:37:00,1,1,0,0,1,38,596,0
2019-02-26,13:38:00,1,1,2,0,1,61,605,0
2019-02-26,14:13:00,1,5,4,0,1,315,605,0
2019-02-26,14:14:00,1,13,14,0,2,196,606,0
2019-02-26,14:15:01,1,16,16,0,2,197,596,0
2019-02-26,14:16:00,1,10,10,0,1,181,599,0
2012019-02-26,17:23:00,1,12,11,0,2,255,606,0
2019-02-26,17:24:00,1,21,21,0,2,177,605,0
2019-02-26,17:25:00,1,11,11,0,2,77,596,0
2019-02-26,17:26:00,1,11,12,0,2,281,606,0
2019-02-26,17:27:00,1,14,14,0,2,293,595,0
2019-02-26,17:48:00,1,1,1,0,1,1,605,0

