date,hour,sx,sy,ex,ey,h,time,e,x
2019-04-02,07:07:51,443,238,389,407,165,2,0,0
2019-04-02,07:08:24,412,375,122,255,147,2,0,0
2019-04-02,07:08:33,211,146,128,227,129,2,0,0
2019-04-02,07:09:22,156,243,351,72,154,2,0,1
2019-04-02,07:12:43,324,83,109,275,154,2,1,0
2019-04-02,07:13:24,140,253,340,81,146,2,0,1
2019-04-02,07:15:56,345,82,128,229,148,2,1,0
2019-04-02,07:16:46,220,234,486,189,168,2,0,0
2019-04-02,07:17:12,435,214,421,405,166,4,0,0
2019-04-02,07:17:28,387,381,311,331,151,4,0,0
2019-04-02,07:17:29,299,323,295,312,132,1,0,0
2019-04-02,07:17:33,295,314,288,304,135,1,0,0
2019-04-02,07:17:39,290,304,122,269,155,5,0,0
2019-04-02,07:18:20,159,224,331,75,154,2,0,1
2019-04-02,07:20:46,249,116,299,147,145,2,0,0
2019-04-02,07:20:52,380,88,123,251,166,8,1,0
2019-04-02,08:46:28,138,251,390,105,164,4,0,1
2019-04-02,08:50:21,373,109,402,410,159,3,1,0
2019-04-02,08:52:58,394,374,155,282,147,2,0,0
2019-04-02,08:53:53,151,251,394,346,158,6,0,0
2019-04-02,08:54:00,388,350,379,390,127,3,0,0
2019-04-02,08:56:28,405,373,179,316,148,9,0,0
2019-04-02,09:27:21,143,243,360,99,165,6,0,1
2019-04-02,09:34:00,411,127,123,259,169,3,1,0
2019-04-02,09:40:40,254,216,383,97,166,4,0,1
2019-04-02,09:43:55,366,127,399,99,129,1,0,0
2019-04-02,09:43:56,387,98,123,266,166,4,1,0
2019-04-02,09:47:20,362,126,405,99,127,1,0,0
2019-04-02,09:47:20,345,136,200,260,175,3,1,0
2019-04-02,09:50:22,373,105,276,225,178,3,1,0
2019-04-02,09:54:20,138,267,451,381,149,2,0,0
2019-04-02,09:54:26,388,377,380,318,120,1,0,0
2019-04-02,09:54:28,333,319,120,226,162,2,0,0
2019-04-02,09:59:38,373,107,242,242,176,3,1,0
2019-04-02,09:59:38,360,131,402,99,138,2,0,0
2019-04-02,10:00:23,222,245,425,400,161,3,0,0
2019-04-02,10:00:59,391,369,368,107,175,7,0,1
2019-04-02,10:01:01,356,130,399,99,131,2,0,0
2019-04-02,10:12:35,382,100,170,264,161,4,1,0
2019-04-02,10:13:06,152,225,389,98,159,4,0,1
2019-04-02,10:21:09,188,247,425,399,157,2,0,0
2019-04-02,10:21:18,384,369,394,97,162,4,0,1
2019-04-02,10:26:57,173,239,398,99,167,4,0,1
2019-04-02,10:30:54,382,99,345,136,143,1,0,0
2019-04-02,10:31:04,416,118,127,179,185,10,1,0
2019-04-02,10:31:09,157,195,139,253,152,4,0,0
2019-04-02,10:34:10,189,231,399,99,173,6,0,1
2019-04-02,10:35:01,389,98,134,249,174,4,1,0
2019-04-02,10:35:16,382,102,125,278,171,3,1,0
2019-04-02,10:35:49,147,233,469,199,176,3,0,0
2019-04-02,10:36:37,383,99,122,242,173,4,1,0
2019-04-02,10:36:37,345,136,401,99,148,2,0,0
2019-04-02,10:37:10,214,187,293,172,128,0,0,0
2019-04-02,10:37:11,345,136,325,114,123,1,0,0
2019-04-02,10:37:12,406,151,449,97,121,1,0,0
2019-04-02,10:37:13,290,179,396,135,178,3,0,1
2019-04-02,10:37:15,347,134,399,97,159,2,0,0
2019-04-02,10:37:52,443,203,114,233,176,2,0,0
2019-04-02,10:46:28,154,197,368,111,170,4,0,1
2019-04-02,10:50:58,382,102,109,254,175,4,1,0
2019-04-02,10:51:56,155,213,447,146,170,3,0,1
2019-04-02,10:51:59,393,127,399,99,146,3,0,0
2019-04-02,11:01:08,349,134,395,99,135,2,0,0
2019-04-02,11:01:09,385,99,119,211,182,4,1,0
2019-04-02,11:05:09,388,109,357,146,136,1,0,0
2019-04-02,11:05:13,407,141,119,234,167,4,1,0
2019-04-02,11:15:19,147,225,277,233,132,1,0,0
2019-04-02,11:15:21,274,199,466,123,184,2,0,1
2019-04-02,11:15:24,401,132,398,99,144,2,0,0
2019-04-02,11:16:40,200,281,584,379,168,2,0,0
2019-04-02,11:16:54,566,370,284,341,170,6,0,0
2019-04-02,11:17:10,279,342,199,304,152,7,0,0
2019-04-02,11:19:23,382,104,132,236,157,4,1,0
2019-04-02,11:19:30,347,137,389,102,153,2,0,0
2019-04-02,11:19:32,383,107,468,375,169,5,1,0
2019-04-02,11:19:37,466,377,398,121,175,3,0,1
2019-04-02,11:19:39,145,232,395,99,157,8,0,1
